metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00
Net Income,360000000.0,277073000.0,1009076000.0,458761000.0,-48000000.0,RCL,,,,,
Minority Interests,-4000000.0,-1849000.0,-1602000.0,-3519000.0,0.0,RCL,,,,,
Net Income Including Noncontrolling Interests,364000000.0,278922000.0,1010678000.0,462280000.0,-48000000.0,RCL,,,,,
Net Income Continuous Operations,364000000.0,278922000.0,1010678000.0,462280000.0,-48000000.0,RCL,,,,,
Pretax Income,364000000.0,278922000.0,1010678000.0,462280000.0,-48000000.0,RCL,,,,,
Other Income Expense,33000000.0,51564000.0,78722000.0,36628000.0,25000000.0,RCL,,,,,
Other Non Operating Income Expenses,-8000000.0,676000.0,-7905000.0,-5386000.0,5000000.0,RCL,,,,,
Earnings From Equity Interest,41000000.0,50888000.0,86627000.0,42014000.0,20000000.0,RCL,,,,,
Gain On Sale Of Security,,50888000.0,86627000.0,42014000.0,20471000.0,RCL,,,,,
Net Non Operating Interest Income Expense,-419000000.0,-342344000.0,-333148000.0,-345929000.0,-345000000.0,RCL,,,,,
Interest Expense Non Operating,424000000.0,346481000.0,340620000.0,355512000.0,360000000.0,RCL,,,,,
Interest Income Non Operating,5000000.0,4137000.0,7472000.0,9583000.0,15000000.0,RCL,,,,,
Operating Income,750000000.0,569702000.0,1265104000.0,771581000.0,272000000.0,RCL,,,,,
Operating Expense,922000000.0,871358000.0,758489000.0,796525000.0,821000000.0,RCL,,,,,
Depreciation Amortization Depletion Income Statement,387000000.0,368077000.0,365473000.0,361677000.0,360000000.0,RCL,,,,,
Depreciation And Amortization In Income Statement,387000000.0,368077000.0,365473000.0,361677000.0,360000000.0,RCL,,,,,
Selling General And Administration,535000000.0,503281000.0,393016000.0,434848000.0,461000000.0,RCL,,,,,
Gross Profit,1672000000.0,1441060000.0,2023593000.0,1568106000.0,1093000000.0,RCL,,,,,
Cost Of Revenue,2056000000.0,1890359000.0,2136860000.0,1954876000.0,1793000000.0,RCL,,,,,
Total Revenue,3728000000.0,3331419000.0,4160453000.0,3522982000.0,2886000000.0,RCL,,,,,
Operating Revenue,3728000000.0,3331419000.0,4160453000.0,3522982000.0,2886000000.0,RCL,,,,,
Tax Effect Of Unusual Items,,-627297166.384112,-194400000.0,-52290000.0,-80370000.0,PFE,,,,,
Tax Rate For Calcs,,0.192541,0.288,0.21,0.114,PFE,,,,,
Normalized EBITDA,,1487000000.0,-422000000.0,4599000000.0,8780000000.0,PFE,,,,,
Total Unusual Items,,-3258000000.0,-675000000.0,-249000000.0,-705000000.0,PFE,,,,,
Total Unusual Items Excluding Goodwill,,-3258000000.0,-675000000.0,-249000000.0,-705000000.0,PFE,,,,,
Net Income From Continuing Operation Net Minority Interest,,-3343000000.0,-2394000000.0,2329000000.0,5542000000.0,PFE,,,,,
Reconciled Depreciation,,1670000000.0,1560000000.0,1573000000.0,1487000000.0,PFE,,,,,
Reconciled Cost Of Revenue,,7160000000.0,8888000000.0,2848000000.0,4502000000.0,PFE,,,,,
EBITDA,,-1771000000.0,-1097000000.0,4350000000.0,8075000000.0,PFE,,,,,
EBIT,,-3441000000.0,-2657000000.0,2777000000.0,6588000000.0,PFE,,,,,
Net Interest Income,,-79000000.0,-172000000.0,-192000000.0,-141000000.0,PFE,,,,,
Interest Expense,,688000000.0,695000000.0,508000000.0,318000000.0,PFE,,,,,
Interest Income,,609000000.0,523000000.0,316000000.0,177000000.0,PFE,,,,,
Normalized Income,,-712297166.384112,-1913400000.0,2525710000.0,6166630000.0,PFE,,,,,
Net Income From Continuing And Discontinued Operation,,-3369000000.0,-2382000000.0,2327000000.0,5543000000.0,PFE,,,,,
Total Expenses,,16220000000.0,16440000000.0,10566000000.0,11912000000.0,PFE,,,,,
Diluted Average Shares,,5647000000.0,5646000000.0,5713000000.0,5727000000.0,PFE,,,,,
Basic Average Shares,,5647000000.0,5646000000.0,5646000000.0,5634000000.0,PFE,,,,,
Diluted EPS,,-0.6,-0.42,0.41,0.97,PFE,,,,,
Basic EPS,,-0.6,-0.42,0.41,0.98,PFE,,,,,
Diluted NI Availto Com Stockholders,,-3369000000.0,-2382000000.0,2327000000.0,5543000000.0,PFE,,,,,
Net Income Common Stockholders,,-3369000000.0,-2382000000.0,2327000000.0,5543000000.0,PFE,,,,,
Net Income,,-3369000000.0,-2382000000.0,2327000000.0,5543000000.0,PFE,,,,,
Minority Interests,,-9000000.0,-6000000.0,-11000000.0,-13000000.0,PFE,,,,,
Net Income Including Noncontrolling Interests,,-3360000000.0,-2376000000.0,2338000000.0,5556000000.0,PFE,,,,,
Net Income Discontinuous Operations,,-26000000.0,12000000.0,-2000000.0,1000000.0,PFE,,,,,
Net Income Continuous Operations,,-3335000000.0,-2388000000.0,2340000000.0,5555000000.0,PFE,,,,,
Tax Provision,,-795000000.0,-964000000.0,-71000000.0,715000000.0,PFE,,,,,
Pretax Income,,-4129000000.0,-3352000000.0,2269000000.0,6270000000.0,PFE,,,,,
Other Income Expense,,-2077000000.0,30000000.0,292000000.0,43000000.0,PFE,,,,,
Other Non Operating Income Expenses,,1030000000.0,574000000.0,385000000.0,680000000.0,PFE,,,,,
Special Income Charges,,-5557000000.0,-282000000.0,-384000000.0,-254000000.0,PFE,,,,,
Gain On Sale Of Ppe,,,0.0,-5000000.0,7000000.0,PFE,,,,,
Other Special Charges,,230000000.0,128000000.0,165000000.0,-11000000.0,PFE,,,,,
Write Off,,,40000000.0,15000000.0,,PFE,,,,,
Impairment Of Capital Assets,,2760000000.0,0.0,0.0,264000000.0,PFE,,,,,
Restructuring And Mergern Acquisition,,2610000000.0,114000000.0,199000000.0,8000000.0,PFE,,,,,
Earnings From Equity Interest,,151000000.0,131000000.0,156000000.0,68000000.0,PFE,,,,,
Gain On Sale Of Security,,2299000000.0,-393000000.0,135000000.0,-451000000.0,PFE,,,,,
Net Non Operating Interest Income Expense,,-79000000.0,-172000000.0,-192000000.0,-141000000.0,PFE,,,,,
Interest Expense Non Operating,,688000000.0,695000000.0,508000000.0,318000000.0,PFE,,,,,
Interest Income Non Operating,,609000000.0,523000000.0,316000000.0,177000000.0,PFE,,,,,
Operating Income,,-1971000000.0,-3208000000.0,2168000000.0,6370000000.0,PFE,,,,,
Operating Expense,,8657000000.0,7171000000.0,7329000000.0,7026000000.0,PFE,,,,,
Depreciation Amortization Depletion Income Statement,,1267000000.0,1179000000.0,1184000000.0,1103000000.0,PFE,,,,,
Depreciation And Amortization In Income Statement,,1267000000.0,1179000000.0,1184000000.0,1103000000.0,PFE,,,,,
Amortization,,1267000000.0,1179000000.0,1184000000.0,1103000000.0,PFE,,,,,
Amortization Of Intangibles Income Statement,,1267000000.0,1179000000.0,1184000000.0,1103000000.0,PFE,,,,,
Research And Development,,2815000000.0,2711000000.0,2648000000.0,2505000000.0,PFE,,,,,
Selling General And Administration,,4575000000.0,3281000000.0,3497000000.0,3418000000.0,PFE,,,,,
Gross Profit,,6686000000.0,3963000000.0,9497000000.0,13396000000.0,PFE,,,,,
Cost Of Revenue,,7563000000.0,9269000000.0,3237000000.0,4886000000.0,PFE,,,,,
Total Revenue,,14249000000.0,13232000000.0,12734000000.0,18282000000.0,PFE,,,,,
Operating Revenue,,14249000000.0,13232000000.0,12734000000.0,18282000000.0,PFE,,,,,
