metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Gross Profit,936000000.0,1111000000.0,1196000000.0,859000000.0,1061000000.0,,,APA,,,,,,,,,,,,
Cost Of Revenue,1015000000.0,1056000000.0,1112000000.0,937000000.0,947000000.0,,,APA,,,,,,,,,,,,
Total Revenue,1951000000.0,2167000000.0,2308000000.0,1796000000.0,2008000000.0,,,APA,,,,,,,,,,,,
Operating Revenue,1951000000.0,2167000000.0,2308000000.0,1796000000.0,2008000000.0,,,APA,,,,,,,,,,,,
Tax Effect Of Unusual Items,-3477200.0,-5376210.0,2733150.0,-7134960.0,-6015660.0,,,LAUR,,,,,,,,,,,,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21,,,LAUR,,,,,,,,,,,,
Normalized EBITDA,40307000.0,139851000.0,88449000.0,183250000.0,41958000.0,,,LAUR,,,,,,,,,,,,
Total Unusual Items,-8693000.0,-25601000.0,13015000.0,-33976000.0,-28646000.0,,,LAUR,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-8693000.0,-25601000.0,13015000.0,-33976000.0,-28646000.0,,,LAUR,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,-10694000.0,47819000.0,35912000.0,60214000.0,-26593000.0,,,LAUR,,,,,,,,,,,,
Reconciled Depreciation,27815000.0,26780000.0,26844000.0,25319000.0,23910000.0,,,LAUR,,,,,,,,,,,,
Reconciled Cost Of Revenue,253978000.0,279419000.0,291052000.0,293998000.0,225312000.0,,,LAUR,,,,,,,,,,,,
EBITDA,31614000.0,114250000.0,101464000.0,149274000.0,13312000.0,,,LAUR,,,,,,,,,,,,
EBIT,3799000.0,87470000.0,74620000.0,123955000.0,-10598000.0,,,LAUR,,,,,,,,,,,,
Net Interest Income,-2750000.0,-1582000.0,-2339000.0,-4186000.0,-3794000.0,,,LAUR,,,,,,,,,,,,
Interest Expense,4661000.0,3728000.0,5169000.0,6137000.0,5952000.0,,,LAUR,,,,,,,,,,,,
Interest Income,1911000.0,2146000.0,2830000.0,1951000.0,2158000.0,,,LAUR,,,,,,,,,,,,
Normalized Income,-5478200.0,68043790.0,25630150.0,87055040.0,-3962660.0,,,LAUR,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,-10751000.0,41862000.0,36158000.0,56177000.0,-26607000.0,,,LAUR,,,,,,,,,,,,
Total Expenses,264243000.0,297985000.0,302824000.0,305958000.0,235626000.0,,,LAUR,,,,,,,,,,,,
Total Operating Income As Reported,11129000.0,109995000.0,58709000.0,154489000.0,15629000.0,,,LAUR,,,,,,,,,,,,
Diluted Average Shares,157011000.0,158100000.0,157804000.0,157584000.0,157197000.0,,,LAUR,,,,,,,,,,,,
Basic Average Shares,157011000.0,157400000.0,157268000.0,157185000.0,157197000.0,,,LAUR,,,,,,,,,,,,
Diluted EPS,-0.07,0.26,0.23,0.35,-0.17,,,LAUR,,,,,,,,,,,,
Basic EPS,-0.07,0.26,0.23,0.35,-0.17,,,LAUR,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,-10751000.0,41862000.0,36158000.0,56177000.0,-26607000.0,,,LAUR,,,,,,,,,,,,
Net Income Common Stockholders,-10751000.0,41862000.0,36158000.0,56177000.0,-26607000.0,,,LAUR,,,,,,,,,,,,
Net Income,-10751000.0,41862000.0,36158000.0,56177000.0,-26607000.0,,,LAUR,,,,,,,,,,,,
Minority Interests,97000.0,127000.0,177000.0,-136000.0,155000.0,,,LAUR,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,-10848000.0,41735000.0,35981000.0,56313000.0,-26762000.0,,,LAUR,,,,,,,,,,,,
Net Income Discontinuous Operations,-57000.0,-5957000.0,246000.0,-4037000.0,-14000.0,,,LAUR,,,,,,,,,,,,
Net Income Continuous Operations,-10791000.0,47692000.0,35735000.0,60350000.0,-26748000.0,,,LAUR,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,-7000.0,174000.0,,0.0,-3000.0,188000.0,,LAUR,,,,,,,,,,,,
Tax Provision,9922000.0,36224000.0,33716000.0,57468000.0,10195000.0,,,LAUR,,,,,,,,,,,,
Pretax Income,-862000.0,83742000.0,69451000.0,117818000.0,-16550000.0,,,LAUR,,,,,,,,,,,,
Other Income Expense,-9241000.0,-26124000.0,13081000.0,-34105000.0,-28385000.0,,,LAUR,,,,,,,,,,,,
Other Non Operating Income Expenses,-548000.0,-523000.0,66000.0,-129000.0,261000.0,,,LAUR,,,,,,,,,,,,
Special Income Charges,-3086000.0,-1453000.0,3260000.0,-1619000.0,306000.0,,,LAUR,,,,,,,,,,,,
Gain On Sale Of Business,-3086000.0,0.0,3260000.0,1000.0,306000.0,,,LAUR,,,,,,,,,,,,
Impairment Of Capital Assets,,1453000.0,,1620000.0,0.0,0.0,0.0,LAUR,,,,,,,,,,,,
Gain On Sale Of Security,-5607000.0,-24148000.0,9755000.0,-32357000.0,-28952000.0,,,LAUR,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-2750000.0,-1582000.0,-2339000.0,-4186000.0,-3794000.0,,,LAUR,,,,,,,,,,,,
Interest Expense Non Operating,4661000.0,3728000.0,5169000.0,6137000.0,5952000.0,,,LAUR,,,,,,,,,,,,
Interest Income Non Operating,1911000.0,2146000.0,2830000.0,1951000.0,2158000.0,,,LAUR,,,,,,,,,,,,
Operating Income,11129000.0,111448000.0,58709000.0,156109000.0,15629000.0,,,LAUR,,,,,,,,,,,,
Operating Expense,10265000.0,18566000.0,11772000.0,11960000.0,10314000.0,,,LAUR,,,,,,,,,,,,
Selling General And Administration,10265000.0,18566000.0,11772000.0,11960000.0,10314000.0,,,LAUR,,,,,,,,,,,,
General And Administrative Expense,10265000.0,18566000.0,11772000.0,11960000.0,10314000.0,,,LAUR,,,,,,,,,,,,
Other Gand A,10265000.0,18566000.0,11772000.0,11960000.0,10314000.0,,,LAUR,,,,,,,,,,,,
Gross Profit,21394000.0,130014000.0,70481000.0,168069000.0,25943000.0,,,LAUR,,,,,,,,,,,,
Cost Of Revenue,253978000.0,279419000.0,291052000.0,293998000.0,225312000.0,,,LAUR,,,,,,,,,,,,
Total Revenue,275372000.0,409433000.0,361533000.0,462067000.0,251255000.0,,,LAUR,,,,,,,,,,,,
Operating Revenue,321611000.0,481547000.0,410666000.0,529814000.0,286035000.0,,,LAUR,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,-27564071.856287,0.0,-22152000.0,0.0,,,HAL,,,,,,,,,,,,
Tax Rate For Calcs,0.226,0.201198,0.21,0.213,0.21,,,HAL,,,,,,,,,,,,
Normalized EBITDA,1164000000.0,1542000000.0,1265000000.0,1252000000.0,1188000000.0,,,HAL,,,,,,,,,,,,
Total Unusual Items,,-137000000.0,0.0,-104000000.0,0.0,6000000.0,,HAL,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-137000000.0,0.0,-104000000.0,0.0,6000000.0,,HAL,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,606000000.0,661000000.0,716000000.0,610000000.0,651000000.0,,,HAL,,,,,,,,,,,,
Reconciled Depreciation,263000000.0,256000000.0,256000000.0,245000000.0,241000000.0,,,HAL,,,,,,,,,,,,
Reconciled Cost Of Revenue,4722000000.0,4606000000.0,4686000000.0,4720000000.0,4646000000.0,,,HAL,,,,,,,,,,,,
EBITDA,1164000000.0,1405000000.0,1265000000.0,1148000000.0,1188000000.0,,,HAL,,,,,,,,,,,,
EBIT,901000000.0,1149000000.0,1009000000.0,903000000.0,947000000.0,,,HAL,,,,,,,,,,,,
Net Interest Income,-92000000.0,-233000000.0,-93000000.0,-92000000.0,-101000000.0,,,HAL,,,,,,,,,,,,
Interest Expense,114000000.0,314000000.0,93000000.0,120000000.0,118000000.0,,,HAL,,,,,,,,,,,,
Interest Income,22000000.0,,,28000000.0,17000000.0,43000000.0,31000000.0,HAL,,,,,,,,,,,,
Normalized Income,606000000.0,770435928.143713,716000000.0,691848000.0,651000000.0,,,HAL,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,606000000.0,661000000.0,716000000.0,610000000.0,651000000.0,,,HAL,,,,,,,,,,,,
Total Expenses,4817000000.0,4579000000.0,4767000000.0,4774000000.0,4700000000.0,,,HAL,,,,,,,,,,,,
Total Operating Income As Reported,987000000.0,1058000000.0,1037000000.0,1011000000.0,977000000.0,,,HAL,,,,,,,,,,,,
Diluted Average Shares,891000000.0,897000000.0,902000000.0,903000000.0,907000000.0,,,HAL,,,,,,,,,,,,
Basic Average Shares,889000000.0,893000000.0,898000000.0,901000000.0,904000000.0,,,HAL,,,,,,,,,,,,
Diluted EPS,0.68,0.74,0.79,0.68,0.72,,,HAL,,,,,,,,,,,,
Basic EPS,0.68,0.74,0.8,0.68,0.72,,,HAL,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,606000000.0,661000000.0,716000000.0,610000000.0,651000000.0,,,HAL,,,,,,,,,,,,
Net Income Common Stockholders,606000000.0,661000000.0,716000000.0,610000000.0,651000000.0,,,HAL,,,,,,,,,,,,
Net Income,606000000.0,661000000.0,716000000.0,610000000.0,651000000.0,,,HAL,,,,,,,,,,,,
Minority Interests,-3000000.0,-6000000.0,-8000000.0,-6000000.0,-4000000.0,,,HAL,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,609000000.0,667000000.0,724000000.0,616000000.0,655000000.0,,,HAL,,,,,,,,,,,,
Net Income Continuous Operations,609000000.0,667000000.0,724000000.0,616000000.0,655000000.0,,,HAL,,,,,,,,,,,,
Tax Provision,178000000.0,168000000.0,192000000.0,167000000.0,174000000.0,,,HAL,,,,,,,,,,,,
Pretax Income,787000000.0,835000000.0,916000000.0,783000000.0,829000000.0,,,HAL,,,,,,,,,,,,
Other Income Expense,-108000000.0,-92000000.0,-28000000.0,-149000000.0,-47000000.0,,,HAL,,,,,,,,,,,,
Other Non Operating Income Expenses,-108000000.0,45000000.0,-28000000.0,-45000000.0,-47000000.0,,,HAL,,,,,,,,,,,,
Special Income Charges,,0.0,0.0,0.0,0.0,6000000.0,,HAL,,,,,,,,,,,,
Other Special Charges,,,,,,0.0,,HAL,,,,,,,,,,,,
Write Off,,0.0,0.0,0.0,0.0,64000000.0,,HAL,,,,,,,,,,,,
Impairment Of Capital Assets,,,,,,-70000000.0,,HAL,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,,,,,0.0,,HAL,,,,,,,,,,,,
Gain On Sale Of Security,,-137000000.0,,-104000000.0,,,,HAL,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-92000000.0,-233000000.0,-93000000.0,-92000000.0,-101000000.0,,,HAL,,,,,,,,,,,,
Interest Expense Non Operating,114000000.0,314000000.0,93000000.0,120000000.0,118000000.0,,,HAL,,,,,,,,,,,,
Interest Income Non Operating,22000000.0,,,28000000.0,17000000.0,43000000.0,31000000.0,HAL,,,,,,,,,,,,
Operating Income,987000000.0,1160000000.0,1037000000.0,1024000000.0,977000000.0,,,HAL,,,,,,,,,,,,
Operating Expense,95000000.0,-27000000.0,81000000.0,54000000.0,54000000.0,,,HAL,,,,,,,,,,,,
Other Operating Expenses,34000000.0,-87000000.0,23000000.0,,,,,HAL,,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,,,,,,0.0,,HAL,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,,,,,0.0,,HAL,,,,,,,,,,,,
Depreciation Income Statement,,,,,,0.0,,HAL,,,,,,,,,,,,
Selling General And Administration,61000000.0,60000000.0,58000000.0,54000000.0,54000000.0,,,HAL,,,,,,,,,,,,
General And Administrative Expense,61000000.0,60000000.0,58000000.0,54000000.0,54000000.0,,,HAL,,,,,,,,,,,,
Other Gand A,61000000.0,60000000.0,58000000.0,54000000.0,54000000.0,,,HAL,,,,,,,,,,,,
Gross Profit,1082000000.0,1133000000.0,1118000000.0,1078000000.0,1031000000.0,,,HAL,,,,,,,,,,,,
Cost Of Revenue,4722000000.0,4606000000.0,4686000000.0,4720000000.0,4646000000.0,,,HAL,,,,,,,,,,,,
Total Revenue,5804000000.0,5739000000.0,5804000000.0,5798000000.0,5677000000.0,,,HAL,,,,,,,,,,,,
Operating Revenue,5804000000.0,5739000000.0,5804000000.0,5798000000.0,5677000000.0,,,HAL,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,0.0,-2750000.0,-126480000.0,-89344000.0,,,CVS,,,,,,,,,,,,
Tax Rate For Calcs,0.289,0.243253,0.25,0.255,0.256,,,CVS,,,,,,,,,,,,
Normalized EBITDA,3434000000.0,4529000000.0,4850000000.0,4856000000.0,4818000000.0,,,CVS,,,,,,,,,,,,
Total Unusual Items,0.0,0.0,-11000000.0,-496000000.0,-349000000.0,,,CVS,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,0.0,0.0,-11000000.0,-496000000.0,-349000000.0,,,CVS,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,1113000000.0,2046000000.0,2261000000.0,1901000000.0,2136000000.0,,,CVS,,,,,,,,,,,,
Reconciled Depreciation,1138000000.0,1134000000.0,1127000000.0,1104000000.0,1001000000.0,,,CVS,,,,,,,,,,,,
Reconciled Cost Of Revenue,75876000000.0,79937000000.0,76187000000.0,75318000000.0,71903000000.0,,,CVS,,,,,,,,,,,,
EBITDA,3434000000.0,4529000000.0,4839000000.0,4360000000.0,4469000000.0,,,CVS,,,,,,,,,,,,
EBIT,2296000000.0,3395000000.0,3712000000.0,3256000000.0,3468000000.0,,,CVS,,,,,,,,,,,,
Net Interest Income,-716000000.0,-690000000.0,-693000000.0,-686000000.0,-589000000.0,,,CVS,,,,,,,,,,,,
Interest Expense,716000000.0,690000000.0,693000000.0,686000000.0,589000000.0,,,CVS,,,,,,,,,,,,
Normalized Income,1113000000.0,2046000000.0,2269250000.0,2270520000.0,2395656000.0,,,CVS,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,1113000000.0,2046000000.0,2261000000.0,1901000000.0,2136000000.0,,,CVS,,,,,,,,,,,,
Total Expenses,86166000000.0,90440000000.0,86063000000.0,85191000000.0,81483000000.0,,,CVS,,,,,,,,,,,,
Total Operating Income As Reported,2271000000.0,3373000000.0,3690000000.0,3234000000.0,3446000000.0,,,CVS,,,,,,,,,,,,
Diluted Average Shares,1267000000.0,1293000000.0,1290000000.0,1287000000.0,1291000000.0,,,CVS,,,,,,,,,,,,
Basic Average Shares,1260000000.0,1288000000.0,1287000000.0,1283000000.0,1283000000.0,,,CVS,,,,,,,,,,,,
Diluted EPS,0.88,1.58,1.75,1.48,1.65,,,CVS,,,,,,,,,,,,
Basic EPS,0.88,1.59,1.76,1.48,1.66,,,CVS,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,1113000000.0,2046000000.0,2261000000.0,1901000000.0,2136000000.0,,,CVS,,,,,,,,,,,,
Net Income Common Stockholders,1113000000.0,2046000000.0,2261000000.0,1901000000.0,2136000000.0,,,CVS,,,,,,,,,,,,
Net Income,1113000000.0,2046000000.0,2261000000.0,1901000000.0,2136000000.0,,,CVS,,,,,,,,,,,,
Minority Interests,-11000000.0,-1000000.0,-4000000.0,-13000000.0,-6000000.0,,,CVS,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,1124000000.0,2047000000.0,2265000000.0,1914000000.0,2142000000.0,,,CVS,,,,,,,,,,,,
Net Income Continuous Operations,1124000000.0,2047000000.0,2265000000.0,1914000000.0,2142000000.0,,,CVS,,,,,,,,,,,,
Tax Provision,456000000.0,658000000.0,754000000.0,656000000.0,737000000.0,,,CVS,,,,,,,,,,,,
Pretax Income,1580000000.0,2705000000.0,3019000000.0,2570000000.0,2879000000.0,,,CVS,,,,,,,,,,,,
Other Income Expense,25000000.0,22000000.0,11000000.0,-474000000.0,-327000000.0,,,CVS,,,,,,,,,,,,
Other Non Operating Income Expenses,25000000.0,22000000.0,22000000.0,22000000.0,22000000.0,,,CVS,,,,,,,,,,,,
Special Income Charges,0.0,0.0,-11000000.0,-496000000.0,-349000000.0,,,CVS,,,,,,,,,,,,
Gain On Sale Of Ppe,0.0,0.0,0.0,0.0,-349000000.0,,,CVS,,,,,,,,,,,,
Other Special Charges,,,,,,99000000.0,5220000000.0,CVS,,,,,,,,,,,,
Impairment Of Capital Assets,,,,,,0.0,0.0,CVS,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,0.0,11000000.0,496000000.0,,,0.0,CVS,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-716000000.0,-690000000.0,-693000000.0,-686000000.0,-589000000.0,,,CVS,,,,,,,,,,,,
Interest Expense Non Operating,716000000.0,690000000.0,693000000.0,686000000.0,589000000.0,,,CVS,,,,,,,,,,,,
Operating Income,2271000000.0,3373000000.0,3701000000.0,3730000000.0,3795000000.0,,,CVS,,,,,,,,,,,,
Operating Expense,10290000000.0,10503000000.0,9876000000.0,9873000000.0,9580000000.0,,,CVS,,,,,,,,,,,,
Other Operating Expenses,10290000000.0,10503000000.0,9876000000.0,9873000000.0,9580000000.0,,,CVS,,,,,,,,,,,,
Gross Profit,12561000000.0,13876000000.0,13577000000.0,13603000000.0,13375000000.0,,,CVS,,,,,,,,,,,,
Cost Of Revenue,75876000000.0,79937000000.0,76187000000.0,75318000000.0,71903000000.0,,,CVS,,,,,,,,,,,,
Total Revenue,88437000000.0,93813000000.0,89764000000.0,88921000000.0,85278000000.0,,,CVS,,,,,,,,,,,,
Operating Revenue,88437000000.0,93813000000.0,89764000000.0,88921000000.0,85278000000.0,,,CVS,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,-4559100.0,-2307580.0,-2602450.0,0.0,,,MTCH,,,,,,,,,,,,
Tax Rate For Calcs,0.2,0.21,0.22,0.23,0.26,,,MTCH,,,,,,,,,,,,
Normalized EBITDA,225100000.0,306385000.0,279263000.0,244108000.0,224350000.0,,,MTCH,,,,,,,,,,,,
Total Unusual Items,,-21710000.0,-10489000.0,-11315000.0,,-114419000.0,-9606000.0,MTCH,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-21710000.0,-10489000.0,-11315000.0,,-114419000.0,-9606000.0,MTCH,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,123198000.0,229658000.0,163727000.0,137345000.0,120809000.0,,,MTCH,,,,,,,,,,,,
Reconciled Depreciation,30888000.0,19380000.0,17310000.0,2448000.0,22669000.0,,,MTCH,,,,,,,,,,,,
Reconciled Cost Of Revenue,256742000.0,208112000.0,255598000.0,262411000.0,240010000.0,,,MTCH,,,,,,,,,,,,
EBITDA,225100000.0,284675000.0,268774000.0,232793000.0,224350000.0,,,MTCH,,,,,,,,,,,,
EBIT,194212000.0,265295000.0,251464000.0,218228000.0,201681000.0,,,MTCH,,,,,,,,,,,,
Net Interest Income,-40353000.0,-13614000.0,-40380000.0,-39742000.0,-39351000.0,,,MTCH,,,,,,,,,,,,
Interest Expense,40353000.0,40414000.0,40380000.0,39742000.0,39351000.0,,,MTCH,,,,,,,,,,,,
Normalized Income,123198000.0,246808900.0,171908420.0,146057550.0,120809000.0,,,MTCH,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,123198000.0,229658000.0,163727000.0,137345000.0,120809000.0,,,MTCH,,,,,,,,,,,,
Total Expenses,674909000.0,592166000.0,627552000.0,603441000.0,588835000.0,,,MTCH,,,,,,,,,,,,
Total Operating Income As Reported,184738000.0,260252000.0,243559000.0,214796000.0,198289000.0,,,MTCH,,,,,,,,,,,,
Diluted Average Shares,286211000.0,288205000.0,293380000.0,295002000.0,296650000.0,,,MTCH,,,,,,,,,,,,
Basic Average Shares,268142000.0,270576000.0,275223000.0,278133000.0,279260000.0,,,MTCH,,,,,,,,,,,,
Diluted EPS,0.44,0.81,0.57,0.48,0.42,,,MTCH,,,,,,,,,,,,
Basic EPS,0.46,0.85,0.59,0.49,0.43,,,MTCH,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,126361000.0,232801000.0,166894000.0,140490000.0,123958000.0,,,MTCH,,,,,,,,,,,,
Average Dilution Earnings,3163000.0,3143000.0,3167000.0,3145000.0,3149000.0,,,MTCH,,,,,,,,,,,,
Net Income Common Stockholders,123198000.0,229658000.0,163727000.0,137345000.0,120809000.0,,,MTCH,,,,,,,,,,,,
Net Income,123198000.0,229658000.0,163727000.0,137345000.0,120809000.0,,,MTCH,,,,,,,,,,,,
Minority Interests,-36000.0,-22000.0,-29000.0,0.0,118000.0,,,MTCH,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,123234000.0,229680000.0,163756000.0,137345000.0,120691000.0,,,MTCH,,,,,,,,,,,,
Net Income Discontinuous Operations,,,,,,-2211000.0,0.0,MTCH,,,,,,,,,,,,
Net Income Continuous Operations,123234000.0,229680000.0,163756000.0,137345000.0,120691000.0,,,MTCH,,,,,,,,,,,,
Tax Provision,30625000.0,-4799000.0,47328000.0,41141000.0,41639000.0,,,MTCH,,,,,,,,,,,,
Pretax Income,153859000.0,224881000.0,211084000.0,178486000.0,162330000.0,,,MTCH,,,,,,,,,,,,
Other Income Expense,9474000.0,-35567000.0,-2584000.0,-7883000.0,3392000.0,,,MTCH,,,,,,,,,,,,
Other Non Operating Income Expenses,9474000.0,-13857000.0,7905000.0,3432000.0,3392000.0,,,MTCH,,,,,,,,,,,,
Special Income Charges,,-13810000.0,-10489000.0,-11315000.0,,-114419000.0,-9606000.0,MTCH,,,,,,,,,,,,
Impairment Of Capital Assets,,13810000.0,10489000.0,11315000.0,,114419000.0,9606000.0,MTCH,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-40353000.0,-13614000.0,-40380000.0,-39742000.0,-39351000.0,,,MTCH,,,,,,,,,,,,
Interest Expense Non Operating,40353000.0,40414000.0,40380000.0,39742000.0,39351000.0,,,MTCH,,,,,,,,,,,,
Operating Income,184738000.0,274062000.0,254048000.0,226111000.0,198289000.0,,,MTCH,,,,,,,,,,,,
Operating Expense,418167000.0,384054000.0,371954000.0,353147000.0,348825000.0,,,MTCH,,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,30888000.0,19380000.0,17310000.0,14565000.0,22669000.0,,,MTCH,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,30888000.0,19380000.0,17310000.0,14565000.0,22669000.0,,,MTCH,,,,,,,,,,,,
Amortization,10367000.0,,,,12117000.0,,9606000.0,MTCH,,,,,,,,,,,,
Amortization Of Intangibles Income Statement,10367000.0,,,,12117000.0,,9606000.0,MTCH,,,,,,,,,,,,
Depreciation Income Statement,20521000.0,19380000.0,17310000.0,14565000.0,10552000.0,,,MTCH,,,,,,,,,,,,
Research And Development,115737000.0,97571000.0,94141000.0,94287000.0,98186000.0,,,MTCH,,,,,,,,,,,,
Selling General And Administration,271542000.0,267103000.0,260503000.0,244295000.0,227970000.0,,,MTCH,,,,,,,,,,,,
Selling And Marketing Expense,165301000.0,158898000.0,153408000.0,136597000.0,137359000.0,,,MTCH,,,,,,,,,,,,
General And Administrative Expense,106241000.0,108205000.0,107095000.0,107698000.0,90611000.0,,,MTCH,,,,,,,,,,,,
Other Gand A,106241000.0,108205000.0,107095000.0,107698000.0,90611000.0,,,MTCH,,,,,,,,,,,,
Salaries And Wages,,,,30646000.0,,,,MTCH,,,,,,,,,,,,
Gross Profit,602905000.0,658116000.0,626002000.0,579258000.0,547114000.0,,,MTCH,,,,,,,,,,,,
Cost Of Revenue,256742000.0,208112000.0,255598000.0,250294000.0,240010000.0,,,MTCH,,,,,,,,,,,,
Total Revenue,859647000.0,866228000.0,881600000.0,829552000.0,787124000.0,,,MTCH,,,,,,,,,,,,
Operating Revenue,859647000.0,866228000.0,881600000.0,829552000.0,787124000.0,,,MTCH,,,,,,,,,,,,
Tax Effect Of Unusual Items,-70470000.0,66947573.898494,-2700000.0,22890000.0,-30160000.0,,,PYPL,,,,,,,,,,,,
Tax Rate For Calcs,0.27,0.21807,0.18,0.21,0.26,,,PYPL,,,,,,,,,,,,
Normalized EBITDA,1821000000.0,1836000000.0,1612000000.0,1550000000.0,1547000000.0,,,PYPL,,,,,,,,,,,,
Total Unusual Items,-261000000.0,307000000.0,-15000000.0,109000000.0,-116000000.0,,,PYPL,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-261000000.0,307000000.0,-15000000.0,109000000.0,-116000000.0,,,PYPL,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,,,PYPL,,,,,,,,,,,,
Reconciled Depreciation,265000000.0,263000000.0,270000000.0,269000000.0,270000000.0,,,PYPL,,,,,,,,,,,,
Reconciled Cost Of Revenue,4238000000.0,4354000000.0,4049000000.0,3939000000.0,3725000000.0,,,PYPL,,,,,,,,,,,,
EBITDA,1560000000.0,2143000000.0,1597000000.0,1659000000.0,1431000000.0,,,PYPL,,,,,,,,,,,,
EBIT,1295000000.0,1880000000.0,1327000000.0,1390000000.0,1161000000.0,,,PYPL,,,,,,,,,,,,
Net Interest Income,80000000.0,45000000.0,38000000.0,29000000.0,21000000.0,,,PYPL,,,,,,,,,,,,
Interest Expense,86000000.0,87000000.0,86000000.0,87000000.0,87000000.0,,,PYPL,,,,,,,,,,,,
Interest Income,166000000.0,132000000.0,124000000.0,116000000.0,108000000.0,,,PYPL,,,,,,,,,,,,
Normalized Income,1078530000.0,1161947573.898494,1032300000.0,942890000.0,880840000.0,,,PYPL,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,,,PYPL,,,,,,,,,,,,
Total Expenses,6319000000.0,6609000000.0,6211000000.0,6130000000.0,5877000000.0,,,PYPL,,,,,,,,,,,,
Total Operating Income As Reported,1168000000.0,1728000000.0,1168000000.0,1133000000.0,999000000.0,,,PYPL,,,,,,,,,,,,
Diluted Average Shares,1072000000.0,,1098000000.0,1114000000.0,1134000000.0,,1157000000.0,PYPL,,,,,,,,,,,,
Basic Average Shares,1064000000.0,,1094000000.0,1111000000.0,1129000000.0,,1154000000.0,PYPL,,,,,,,,,,,,
Diluted EPS,0.83,,0.93,0.92,0.7,,1.15,PYPL,,,,,,,,,,,,
Basic EPS,0.83,,0.93,0.93,0.7,,1.15,PYPL,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,,,PYPL,,,,,,,,,,,,
Net Income Common Stockholders,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,,,PYPL,,,,,,,,,,,,
